"id_legislatura","id_diputado","nombre","fecha","url"
10,330,"Batet Lamaña,Meritxell","20111214","http://www.congreso.es/docbienes/leg10/000271/000271_000_e_0001114_20111214.pdf"
10,206,"Bedera Bravo,Mario","20111201","http://www.congreso.es/docbienes/leg10/000122/000122_000_e_0000563_20111201.pdf"
10,310,"Benegas Haddad,José María","20111207","http://www.congreso.es/docbienes/leg10/000192/000192_000_e_0000855_20111207.pdf"
10,93,"Beneyto Pérez,José María","20120322","http://www.congreso.es/docbienes/leg10/000352/000352_000_e_0009171_20120322.pdf"
10,326,"Bermúdez de Castro Fernández,José Antonio","20111207","http://www.congreso.es/docbienes/leg10/000207/000207_000_e_0000898_20111207.pdf"
10,278,"Bertomeu Bertomeu,Juan","20120314","http://www.congreso.es/docbienes/leg10/000347/000347_000_e_0008586_20120314.pdf"
10,96,"Blanco López,José","20111201","http://www.congreso.es/docbienes/leg10/000096/000096_000_e_0000452_20111201.pdf"
10,205,"Blanco Terán,Rosa Delia","20111201","http://www.congreso.es/docbienes/leg10/000121/000121_000_e_0000559_20111201.pdf"
10,372,"Blanquer Alcaraz,Patricia","20120726","http://www.congreso.es/docbienes/leg10/000373/000373_000_e_0024804_20120726.pdf"
10,372,"Blanquer Alcaraz,Patricia","20130116","http://www.congreso.es/docbienes/leg10/000373/000373_001_e_0041402_20130116.pdf"
10,49,"Blasco Soto,Miriam Guadalupe","20111213","http://www.congreso.es/docbienes/leg10/000258/000258_000_e_0001026_20111213.pdf"
10,309,"Bolarín Sánchez,María Dolores","20111207","http://www.congreso.es/docbienes/leg10/000191/000191_000_e_0000851_20111207.pdf"
10,120,"Bonilla Domínguez,María Jesús","20111220","http://www.congreso.es/docbienes/leg10/000277/000277_000_e_0001221_20111220.pdf"
10,296,"Bosch i Pascual,Alfred","20111213","http://www.congreso.es/docbienes/leg10/000262/000262_000_e_0001035_20111213.pdf"
10,86,"Bravo Ibáñez,Mª Concepción","20120209","http://www.congreso.es/docbienes/leg10/000323/000323_000_e_0004923_20120209.pdf"
10,92,"Buyolo García,Federico","20111129","http://www.congreso.es/docbienes/leg10/000036/000036_000_e_0000224_20111129.pdf"
10,92,"Buyolo García,Federico","20121129","http://www.congreso.es/docbienes/leg10/000036/000036_001_e_0037147_20121129.pdf"
10,105,"Cabello de Alba Hernández,Federico","20120111","http://www.congreso.es/docbienes/leg10/000311/000311_000_e_0002064_20120111.pdf"
10,137,"Cabezón Ruiz,Soledad","20111130","http://www.congreso.es/docbienes/leg10/000067/000067_000_e_0000350_20111130.pdf"
10,176,"Cabrera García,Francisco Domingo","20111201","http://www.congreso.es/docbienes/leg10/000101/000101_000_e_0000479_20111201.pdf"
10,8,"Caicedo Bernabé,Jesús","20120111","http://www.congreso.es/docbienes/leg10/000308/000308_000_e_0002024_20120111.pdf"
10,79,"Caldera Sánchez-Capitán,Jesús","20111129","http://www.congreso.es/docbienes/leg10/000030/000030_000_e_0000191_20111129.pdf"
10,299,"Camacho Vizcaíno,Antonio","20111205","http://www.congreso.es/docbienes/leg10/000183/000183_000_e_0000813_20111205.pdf"
10,287,"Camarero Benítez,Susana","20111205","http://www.congreso.es/docbienes/leg10/000180/000180_000_e_0000799_20111205.pdf"
10,222,"Campos Arteseros,Herick Manuel","20111202","http://www.congreso.es/docbienes/leg10/000135/000135_000_e_0000633_20111202.pdf"
